"filename", "language", "PHP", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"c:\xampp\htdocs\index.php", "PHP", 22, 0, 0, 0, 4, 26
"c:\xampp\htdocs\jsconfig.json", "JSON with Comments", 0, 0, 6, 0, 1, 7
"c:\xampp\htdocs\src\js\chapters\confrontation.js", "JavaScript", 0, 62, 0, -10, 4, 56
"c:\xampp\htdocs\src\js\chapters\environment.js", "JavaScript", 0, -57, 0, -18, -16, -91
"c:\xampp\htdocs\src\js\chapters\introduction.js", "JavaScript", 0, 61, 0, 4, 14, 79
"c:\xampp\htdocs\src\js\chapters\relieve.js", "JavaScript", 0, 56, 0, -3, 12, 65
"c:\xampp\htdocs\src\js\components\rain.js", "JavaScript", 0, 254, 0, 0, 1, 255
"c:\xampp\htdocs\src\js\environment.js", "JavaScript", 0, 205, 0, 25, 46, 276
"c:\xampp\htdocs\src\js\game.js", "JavaScript", 0, 52, 0, 0, 8, 60
"c:\xampp\htdocs\src\js\hardware\bluetooth.js", "JavaScript", 0, 4, 0, 1, 3, 8
"c:\xampp\htdocs\src\js\models\breathState.js", "JavaScript", 0, 3, 0, 0, 1, 4
"c:\xampp\htdocs\src\js\progress.js", "JavaScript", 0, 38, 0, 1, 9, 48
"c:\xampp\htdocs\src\php\header.php", "PHP", 2, 0, 0, 0, 0, 2
"Total", "-", 24, 678, 6, 0, 87, 795